date,patients_in,bed_occupancy_rate,beds_occupied,icu_beds,ventilators,doctors,nurses,staff
2024-11-10,23,68.65,68,7,4,11,25,37
2024-11-09,26,54.93,54,9,3,15,21,33
2024-11-08,21,77.72,77,6,3,15,39,34
2024-11-07,26,75.09,75,8,4,16,37,26
2024-11-06,25,84.59,84,4,2,13,21,39
2024-11-05,15,86.07,86,9,2,11,27,20
2024-11-04,17,89.81,89,7,4,14,36,28
2024-11-03,22,97.52,97,5,3,11,37,32
2024-11-02,24,77.7,77,6,3,18,34,38
2024-11-01,24,53.8,53,8,4,16,33,35
2024-10-31,23,70.91,70,4,1,10,36,26
2024-10-30,11,71.05,71,9,1,11,23,27
2024-10-29,29,58.28,58,4,3,14,27,39
2024-10-28,26,96.34,96,9,1,11,27,36
2024-10-27,17,65.86,65,6,1,13,30,26
2024-10-26,26,73.96,73,9,2,15,22,28
2024-10-25,13,72.09,72,4,4,17,29,21
2024-10-24,27,94.07,94,3,3,11,39,34
2024-10-23,24,57.81,57,5,3,14,22,31
2024-10-22,25,54.87,54,6,2,15,33,34
2024-10-21,25,80.94,80,6,4,14,26,27
2024-10-20,23,85.93,85,4,2,18,29,32
2024-10-19,10,93.14,93,5,4,14,29,34
2024-10-18,26,88.51,88,5,3,10,26,32
2024-10-17,28,56.16,56,8,2,19,36,27
2024-10-16,12,78.35,78,4,4,19,21,33
2024-10-15,29,93.99,93,8,2,12,22,27
2024-10-14,21,76.73,76,4,4,19,31,33
2024-10-13,19,81.64,81,1,1,13,36,38
2024-10-12,12,59.0,58,6,1,10,25,29
2024-10-11,19,92.98,92,9,1,18,20,29
2024-10-10,22,60.99,60,1,4,19,22,39
2024-10-09,28,88.5,88,5,4,17,32,23
2024-10-08,14,95.08,95,7,2,18,38,35
2024-10-07,25,78.29,78,4,3,19,38,34
2024-10-06,19,99.08,99,5,2,13,34,37
2024-10-05,11,96.84,96,1,3,18,25,24
2024-10-04,21,91.23,91,7,3,19,35,35
2024-10-03,18,88.27,88,8,2,11,24,27
2024-10-02,18,88.86,88,9,3,13,25,27
2024-10-01,20,98.65,98,1,3,10,32,20
2024-09-30,27,73.08,73,2,4,12,28,38
2024-09-29,20,71.42,71,2,2,17,28,25
2024-09-28,29,51.08,51,6,2,16,35,29
2024-09-27,27,91.31,91,7,1,11,38,24
2024-09-26,15,52.04,52,2,1,19,36,32
2024-09-25,25,60.21,60,6,1,10,26,37
2024-09-24,15,76.22,76,1,2,15,27,39
2024-09-23,22,89.04,89,2,4,17,30,25
2024-09-22,29,85.66,85,5,4,19,31,25
2024-09-21,29,50.89,50,4,4,10,29,38
2024-09-20,27,73.18,73,7,4,10,34,30
2024-09-19,11,88.95,88,6,2,18,23,20
2024-09-18,10,54.49,54,9,2,16,30,32
2024-09-17,24,71.23,71,8,1,19,31,34
2024-09-16,21,91.15,91,6,3,14,24,30
2024-09-15,19,79.62,79,6,2,11,26,23
2024-09-14,23,78.46,78,8,3,16,32,36
2024-09-13,14,78.97,78,2,1,17,39,31
2024-09-12,19,61.17,61,5,2,13,23,33
2024-09-11,16,60.75,60,8,3,15,28,20
2024-09-10,21,68.37,68,9,2,12,31,34
2024-09-09,26,79.66,79,9,1,11,35,29
2024-09-08,19,83.88,83,5,2,16,20,37
2024-09-07,14,54.83,54,6,3,11,33,28
2024-09-06,10,59.26,59,2,3,12,27,38
2024-09-05,29,80.01,80,6,3,14,36,39
2024-09-04,25,64.55,64,6,4,18,38,30
2024-09-03,29,92.27,92,3,3,12,34,26
2024-09-02,29,69.04,69,4,2,18,22,28
2024-09-01,20,85.67,85,2,3,16,31,36
2024-08-31,12,77.72,77,6,4,16,29,33
2024-08-30,26,90.45,90,3,4,11,26,38
2024-08-29,28,81.09,81,1,3,19,20,31
2024-08-28,12,61.32,61,3,2,10,39,23
2024-08-27,25,71.45,71,8,3,13,35,32
2024-08-26,25,99.04,99,3,3,12,39,30
2024-08-25,23,96.96,96,5,4,17,22,38
2024-08-24,10,75.56,75,4,2,14,27,34
2024-08-23,25,52.59,52,3,2,15,35,31
2024-08-22,23,76.63,76,4,3,15,38,35
2024-08-21,11,54.68,54,5,4,14,30,23
2024-08-20,24,75.44,75,6,4,18,31,37
2024-08-19,17,53.38,53,2,2,15,37,25
2024-08-18,15,50.72,50,7,3,17,28,27
2024-08-17,14,84.13,84,9,2,11,20,24
2024-08-16,26,85.81,85,5,2,14,21,23
2024-08-15,10,85.43,85,1,1,19,25,23
2024-08-14,18,62.01,62,9,3,16,31,27
2024-08-13,13,60.66,60,3,4,11,26,30
2024-08-12,28,56.86,56,1,1,10,32,38
2024-08-11,21,52.21,52,6,1,16,21,20
2024-08-10,17,72.63,72,1,2,19,26,35
2024-08-09,13,59.2,59,7,2,12,39,23
2024-08-08,26,94.08,94,5,4,17,26,27
2024-08-07,16,96.36,96,1,3,15,35,36
2024-08-06,23,58.19,58,3,3,10,26,39
2024-08-05,14,57.82,57,1,1,18,28,37
2024-08-04,28,70.13,70,8,1,12,33,31
2024-08-03,19,84.13,84,3,3,12,35,31
2024-08-02,25,81.42,81,3,4,12,28,26
2024-08-01,24,55.65,55,1,1,13,37,21
2024-07-31,13,72.4,72,6,3,10,22,26
2024-07-30,12,93.01,93,1,3,10,23,39
2024-07-29,19,54.93,54,6,2,15,24,27
2024-07-28,15,94.99,94,3,2,15,26,38
2024-07-27,24,69.03,69,8,3,10,32,22
2024-07-26,26,55.88,55,9,2,18,20,39
2024-07-25,29,69.84,69,3,4,16,33,25
2024-07-24,23,87.3,87,7,4,18,33,24
2024-07-23,25,97.2,97,7,3,16,26,31
2024-07-22,10,64.75,64,2,1,14,30,23
2024-07-21,12,85.69,85,2,4,19,28,34
2024-07-20,10,53.83,53,4,2,17,35,30
2024-07-19,16,81.29,81,6,4,13,38,35
2024-07-18,14,68.18,68,8,4,19,23,25
2024-07-17,27,55.92,55,8,2,15,23,25
2024-07-16,27,97.71,97,3,3,11,36,31
2024-07-15,25,52.77,52,3,4,14,38,37
2024-07-14,13,62.75,62,7,3,13,29,29
2024-07-13,16,90.36,90,6,1,10,29,36
2024-07-12,13,71.21,71,4,2,17,20,21
2024-07-11,24,66.32,66,7,1,12,22,39
2024-07-10,20,69.7,69,7,2,18,30,39
2024-07-09,27,68.56,68,8,2,10,24,30
2024-07-08,17,65.3,65,8,3,17,24,24
2024-07-07,20,65.05,65,9,2,11,29,34
2024-07-06,10,51.59,51,8,1,16,20,28
2024-07-05,26,92.21,92,4,1,19,25,29
2024-07-04,10,95.55,95,8,2,10,23,22
2024-07-03,16,53.0,53,8,3,14,28,25
2024-07-02,16,87.43,87,3,2,14,21,21
2024-07-01,13,80.9,80,5,3,17,36,24
2024-06-30,19,73.24,73,2,3,12,27,23
2024-06-29,14,98.73,98,2,4,11,36,33
2024-06-28,27,57.04,57,5,4,13,39,39
2024-06-27,11,76.89,76,2,2,12,30,36
2024-06-26,10,65.4,65,9,4,19,35,31
2024-06-25,13,84.46,84,9,4,13,26,30
2024-06-24,13,59.78,59,1,3,14,24,33
2024-06-23,25,68.72,68,3,3,19,30,20
2024-06-22,13,80.71,80,8,4,11,39,35
2024-06-21,23,90.06,90,1,1,17,24,39
2024-06-20,23,74.92,74,7,2,16,26,31
2024-06-19,17,80.07,80,5,4,17,35,38
2024-06-18,13,66.25,66,4,2,11,39,38
2024-06-17,22,82.12,82,8,3,11,35,22
2024-06-16,12,86.35,86,1,1,14,32,35
2024-06-15,24,69.17,69,8,1,11,28,34
2024-06-14,10,98.58,98,7,4,18,35,33
2024-06-13,14,60.46,60,4,3,15,27,35
2024-06-12,25,72.56,72,4,2,10,30,28
2024-06-11,23,73.62,73,6,4,14,33,28
2024-06-10,26,80.95,80,2,3,18,32,31
2024-06-09,18,93.9,93,4,1,12,24,20
2024-06-08,12,97.14,97,2,1,19,23,25
2024-06-07,14,57.26,57,8,4,19,26,24
2024-06-06,21,91.63,91,5,4,10,34,30
2024-06-05,26,62.46,62,5,2,18,36,38
2024-06-04,14,92.19,92,2,1,13,33,34
2024-06-03,18,61.53,61,7,3,19,25,22
2024-06-02,29,90.89,90,7,1,16,33,22
2024-06-01,26,75.13,75,3,4,11,25,29
2024-05-31,25,57.59,57,3,3,10,24,22
2024-05-30,16,88.23,88,5,2,18,21,32
2024-05-29,28,96.54,96,3,4,16,23,38
2024-05-28,12,53.84,53,4,1,13,38,22
2024-05-27,17,62.05,62,5,3,10,30,25
2024-05-26,27,66.01,66,6,1,14,39,22
2024-05-25,14,92.87,92,6,1,15,29,39
2024-05-24,13,54.33,54,1,3,14,26,26
2024-05-23,14,92.77,92,5,3,11,20,33
2024-05-22,12,51.63,51,8,2,15,33,26
2024-05-21,19,72.84,72,8,1,12,36,38
2024-05-20,25,75.87,75,9,4,10,39,27
2024-05-19,29,83.16,83,7,4,12,30,23
2024-05-18,13,53.05,53,8,2,17,31,22
2024-05-17,27,71.09,71,5,4,13,38,29
2024-05-16,29,76.6,76,3,4,13,26,37
2024-05-15,19,66.09,66,3,1,10,32,32
2024-05-14,12,60.23,60,3,4,16,35,32
2024-05-13,21,58.59,58,8,4,19,28,34
2024-05-12,17,92.25,92,4,4,11,32,30
2024-05-11,15,73.06,73,7,3,11,28,24
2024-05-10,22,75.54,75,9,2,19,31,29
2024-05-09,16,59.26,59,5,2,17,25,22
2024-05-08,18,50.39,50,8,3,12,25,39
2024-05-07,19,67.1,67,1,1,18,37,23
2024-05-06,17,92.72,92,8,4,19,23,32
2024-05-05,29,58.9,58,7,3,13,36,28
2024-05-04,11,79.7,79,3,3,11,34,26
2024-05-03,12,76.45,76,1,1,11,21,24
2024-05-02,18,64.26,64,3,3,12,34,37
2024-05-01,21,74.62,74,3,4,12,27,30
2024-04-30,24,96.72,96,8,3,16,21,32
2024-04-29,12,87.71,87,1,4,17,28,22
2024-04-28,24,96.97,96,8,2,14,21,37
2024-04-27,27,88.18,88,3,2,14,38,34
2024-04-26,25,64.6,64,3,1,10,36,24
2024-04-25,26,87.75,87,7,2,17,34,26
2024-04-24,29,69.14,69,8,2,17,31,26
2024-04-23,26,97.6,97,1,3,13,25,33
2024-04-22,22,75.23,75,6,3,17,27,30
2024-04-21,15,89.49,89,6,3,12,36,20
2024-04-20,16,53.31,53,4,2,18,31,24
2024-04-19,14,52.88,52,5,1,12,30,20
2024-04-18,21,83.33,83,8,4,17,25,22
2024-04-17,15,58.19,58,5,2,11,28,34
2024-04-16,26,55.59,55,6,2,14,31,34
2024-04-15,29,59.29,59,2,4,16,33,23
2024-04-14,24,50.78,50,7,2,17,35,35
2024-04-13,23,98.72,98,9,1,13,22,26
2024-04-12,23,81.47,81,1,2,19,26,30
2024-04-11,11,89.06,89,8,4,10,31,22
2024-04-10,10,66.29,66,2,4,16,21,26
2024-04-09,23,81.57,81,7,2,15,30,36
2024-04-08,28,56.07,56,6,3,15,27,25
2024-04-07,21,61.43,61,8,2,15,27,33
2024-04-06,26,82.4,82,6,2,11,21,21
2024-04-05,16,83.75,83,5,4,17,35,36
2024-04-04,11,57.65,57,6,3,14,33,21
2024-04-03,26,58.63,58,1,4,18,25,29
2024-04-02,21,73.66,73,7,2,16,37,36
2024-04-01,22,87.8,87,8,2,18,29,24
2024-03-31,20,84.34,84,8,1,15,38,30
2024-03-30,11,96.53,96,4,4,19,39,30
2024-03-29,17,83.36,83,1,3,19,35,33
2024-03-28,12,77.17,77,3,1,12,23,35
2024-03-27,16,54.75,54,4,1,11,25,35
2024-03-26,29,92.06,92,2,4,10,35,34
2024-03-25,16,97.81,97,4,4,12,21,32
2024-03-24,18,88.42,88,2,2,11,33,27
2024-03-23,21,69.58,69,9,3,18,21,20
2024-03-22,22,94.96,94,4,4,18,24,39
2024-03-21,27,76.72,76,6,2,10,37,29
2024-03-20,29,81.71,81,7,2,11,39,27
2024-03-19,11,52.15,52,3,4,14,33,25
2024-03-18,24,94.87,94,6,2,11,38,32
2024-03-17,16,80.33,80,2,1,11,39,20
2024-03-16,17,64.34,64,7,2,18,23,24
2024-03-15,22,93.57,93,3,1,11,33,30
2024-03-14,23,91.18,91,8,4,15,36,26
2024-03-13,27,63.06,63,9,3,15,28,23
2024-03-12,24,92.99,92,4,2,17,30,25
2024-03-11,24,76.58,76,2,3,10,33,27
2024-03-10,14,74.37,74,1,2,13,24,37
2024-03-09,17,69.43,69,6,2,19,21,27
2024-03-08,13,91.37,91,7,3,16,34,28
2024-03-07,21,67.51,67,8,4,12,26,29
2024-03-06,14,60.19,60,4,1,11,28,29
2024-03-05,23,52.18,52,2,1,17,23,27
2024-03-04,26,79.43,79,9,4,16,37,39
2024-03-03,26,94.73,94,6,1,15,35,31
2024-03-02,16,88.43,88,1,3,15,23,37
2024-03-01,21,64.64,64,8,2,17,36,28
2024-02-29,28,64.56,64,6,4,11,26,26
2024-02-28,21,60.64,60,6,4,16,37,27
2024-02-27,19,65.3,65,3,1,18,23,30
2024-02-26,15,72.0,72,4,4,16,32,38
2024-02-25,20,59.16,59,4,3,19,39,37
2024-02-24,21,79.74,79,7,3,10,30,23
2024-02-23,16,67.75,67,9,1,14,36,37
2024-02-22,23,50.02,50,3,2,15,37,26
2024-02-21,14,99.11,99,5,3,14,30,33
2024-02-20,26,77.28,77,7,3,10,34,36
2024-02-19,21,73.18,73,4,4,12,39,29
2024-02-18,21,92.94,92,1,1,14,30,36
2024-02-17,28,74.91,74,9,2,19,36,20
2024-02-16,24,89.07,89,2,4,15,36,28
2024-02-15,23,80.12,80,6,3,16,26,29
2024-02-14,22,64.22,64,6,1,18,29,31
2024-02-13,23,83.55,83,9,1,10,20,29
2024-02-12,19,96.95,96,1,3,18,21,36
2024-02-11,19,64.91,64,5,3,12,36,38
2024-02-10,12,65.17,65,9,1,10,28,25
2024-02-09,12,53.92,53,3,1,18,30,35
2024-02-08,24,69.21,69,9,4,19,21,35
2024-02-07,20,80.01,80,7,4,14,24,23
2024-02-06,19,67.8,67,5,3,15,38,23
2024-02-05,18,57.2,57,6,3,19,29,36
2024-02-04,22,82.45,82,1,2,14,35,28
2024-02-03,21,85.88,85,2,1,14,25,24
2024-02-02,13,77.7,77,6,2,11,31,35
2024-02-01,25,91.44,91,5,4,15,27,24
2024-01-31,27,67.4,67,1,1,16,29,37
2024-01-30,15,56.56,56,7,3,11,33,25
2024-01-29,21,81.75,81,4,3,14,37,23
2024-01-28,14,62.9,62,6,1,18,28,37
2024-01-27,13,85.78,85,7,1,13,38,32
2024-01-26,15,98.44,98,6,4,14,20,25
2024-01-25,15,88.93,88,3,4,19,30,24
2024-01-24,25,76.41,76,5,4,15,23,35
2024-01-23,26,97.11,97,8,1,16,32,36
2024-01-22,29,73.98,73,4,1,10,21,26
2024-01-21,10,93.07,93,6,2,18,21,30
2024-01-20,20,85.01,85,7,1,17,28,23
2024-01-19,27,62.37,62,5,1,11,26,36
2024-01-18,14,89.14,89,9,2,18,22,29
2024-01-17,25,98.43,98,3,1,12,20,35
2024-01-16,28,90.37,90,2,4,15,25,33
2024-01-15,21,99.81,99,8,3,16,29,32
2024-01-14,22,80.97,80,7,1,17,39,23
2024-01-13,11,63.18,63,8,1,16,36,27
2024-01-12,16,51.29,51,8,4,10,35,29
2024-01-11,25,87.03,87,3,3,10,36,30
2024-01-10,17,50.02,50,2,4,12,35,30
2024-01-09,21,94.84,94,1,1,19,22,33
2024-01-08,27,62.09,62,1,1,10,30,31
2024-01-07,21,96.2,96,6,4,19,22,39
2024-01-06,14,60.66,60,6,2,12,36,32
2024-01-05,15,92.55,92,6,2,14,21,39
2024-01-04,13,62.5,62,4,3,13,27,20
2024-01-03,28,70.09,70,1,3,13,28,28
2024-01-02,21,82.24,82,2,1,14,32,26
2024-01-01,10,74.09,74,3,2,15,37,35
2023-12-31,26,99.27,99,5,2,11,36,33
2023-12-30,19,66.84,66,9,1,16,29,33
2023-12-29,24,78.35,78,1,2,14,39,36
2023-12-28,18,92.66,92,6,2,11,21,31
2023-12-27,10,56.98,56,7,1,14,35,20
